NEW YORK  May 15 Top hedge funds shed their stakes in high-profile Internet names such as Netflix Inc  and Groupon Inc in the first quarter  moving to peers viewed as more mature and less volatile.,2014-05-15
SAN FRANCISCO  May 16 Apple and Google's Motorola Mobility unit have agreed to dismiss high profile U.S. patent litigation against each other over smartphone technology  according to a court filing on Friday.,2014-05-16
SAN FRANCISCO Apple Inc and Google Inc's Motorola Mobility unit have agreed to settle all patent litigation between them over smartphone technology  ending one of the highest profile lawsuits in technology.,2014-05-16
SAN FRANCISCO  May 16 Apple Inc and Google Inc's Motorola Mobility unit have agreed to settle all patent litigation between them over smartphone technology  ending one of the highest profile lawsuits in technology.,2014-05-16
SAN FRANCISCO Apple Inc and Google Inc's Motorola Mobility unit have agreed to settle all patent litigation between them over smartphones  ending one of the highest-profile lawsuits in technology.,2014-05-17
BERLIN  May 17 Martin Schulz  the centre-left's candidate to lead the European Commission after EU parliamentary elections this month  has joined calls for Google's  market dominance to be subject to strict regulation.,2014-05-17
MILAN  May 17 U.S. tech giants Apple  Google and Amazon and French game developer Gameloft are under investigation in Italy for alleged unfair commercial practices  the country's antitrust and competition authority said.,2014-05-17
MILAN U.S. tech giants Apple  Google and Amazon and French game developer Gameloft are under investigation in Italy for alleged unfair commercial practices  the country's antitrust and competition authority said.,2014-05-17
(Adds additional details about smartphone market  in paragraphs 6-8  11  13),2014-05-17
May 19 Google Inc :  * Mobile company divide announces acquisition by Google Inc,2014-05-19
SAN FRANCISCO Google Inc said it has acquired Divide  a company whose software allows corporations to manage the personal smartphones that consumers increasingly use on the job.,2014-05-19
SAN FRANCISCO  May 19 Google Inc said it has acquired Divide  a company whose software allows corporations to manage the personal smartphones that consumers increasingly use on the job.,2014-05-19
May 18 Google Inc was said to be in talks to acquire video-streaming service Twitch  according to a report in The Wall Street Journal on Sunday.,2014-05-19
(Repeats to additional subscribers with no change of text),2014-05-19
May 19 Google Inc's  YouTube unit has reached a deal to acquire videogame-streaming service Twitch for more than $1 billion  according to a report in Variety  the entertainment news publication.,2014-05-19
SAN FRANCISCO  May 21 Google Inc's  Nest Labs is recalling 440 000 smoke detectors  according to a U.S. government notice on Wednesday that provides the first public revelation of how many of the smart home appliances have shipped since sales started in November.,2014-05-21
May 22 Google Inc plans to offer Wi-Fi network hardware and software at a discount to small and medium-sized businesses  tech blog The Information reported on Wednesday  citing a confidential document it accessed and a person who was briefed on the project.,2014-05-22
Google Inc  is developing a new 7-inch tablet that can capture 3-D images  and plans to produce about 4 000 of these prototypes beginning next month  the Wall Street Journal reported  citing people briefed on the company's plans.,2014-05-23
May 22 Google Inc is developing a new 7-inch tablet that can capture 3-D images  and plans to produce about 4 000 of these prototypes beginning next month  the Wall Street Journal reported  citing people briefed on the company's plans.,2014-05-23
(Adds comment from plaintiffs' lawyer  details about plaintiffs),2014-05-23
RANCHO PALOS VERDES Calif. Google Inc is building cars that don't have steering wheels  accelerator pedals or brake pedals  in an ambitious expansion of the Internet company's efforts to develop self-driving cars.,2014-05-28
RANCHO PALOS VERDES Calif. Google Inc is building cars that don't have steering wheels  accelerator pedals or brake pedals  in an ambitious expansion of the Internet company's efforts to develop self-driving cars.,2014-05-28
RANCHO PALOS VERDES  Calif.  May 27 Google Inc  is building cars that don't have steering wheels  accelerator pedals or brake pedals  in an ambitious expansion of the Internet company's efforts to develop self-driving cars.,2014-05-28
"SAN FRANCISCO Google Inc  revealed the gender and racial makeup of its 50 000-strong workforce on Wednesday  disclosing a significantly below-average proportion of minorities and women employees that it said was ""miles from where we want to be.""",2014-05-29
"SAN FRANCISCO  May 28 Google Inc  revealed the gender and racial makeup of its 50 000-strong workforce on Wednesday  disclosing a significantly below-average proportion of minorities and women employees that it said was ""miles from where we want to be.""",2014-05-29
MUMBAI Sequoia Capital  best known for its early-stage investments in companies such as Google Inc   has raised $530 million for its fourth India-focused fund  the U.S. venture capital fund said in a statement on Friday.,2014-05-29
MUMBAI  May 30 Sequoia Capital  best known for its early-stage investments in companies such as Google Inc   has raised $530 million for its fourth India-focused fund  the U.S. venture capital fund said in a statement on Friday.,2014-05-29
TAIPEI  May 27 Taiwan's Acer Inc  detailed its long-touted push into cloud computing on Thursday  as the struggling computer maker responds to a shrinking PC market by pitting itself against cloud leaders Amazon.com Inc  and Google Inc.,2014-05-29
TAIPEI Taiwan's Acer Inc 2353.TW detailed its long-touted push into cloud computing on Thursday  as the struggling computer maker responds to a shrinking PC market by pitting itself against cloud leaders Amazon.com Inc AMZN.O and Google Inc GOOGL.O.,2014-05-29
* Chairman Shih to support BYOC after June retirement   (Adds graphic link),2014-05-29
BRUSSELS Google and other internet companies find themselves in a quandary over how to strike a balance between privacy and freedom of information as the top world search engine took a first step towards upholding an EU privacy ruling.,2014-05-30
* EU citizens can ask Google to remove links through online form,2014-05-30
"May 29 Google Inc on Thursday said it has made a webform for Europeans to request the removal of results from its search engine to comply with the recent top European court ruling that subjects have the ""right to be forgotten.""",2014-05-30
Google has taken the first steps to meet a European ruling that citizens can have objectionable links removed from Internet search results  a ruling that pleased privacy campaigners but raised fears that the right can be abused to hide negative information. | Video ,2014-05-30
* EU citizens can ask Google to remove links through online form,2014-05-30
BEIJING Google services are being disrupted in China ahead of this week's 25th anniversary of the 1989 crackdown on pro-democracy demonstrators around Beijing's Tiananmen Square  a censorship watchdog said on Monday.,2014-06-02
NEW YORK  The Dow and the S&P 500 finished at record highs again on Monday after a closely watched read on U.S. manufacturing was revised to show more strength than initially indicated.,2014-06-02
