Thiel could invest $150 million in AirBnb ,2012-10-20
UPDATE 1-Thiel could invest $150 million in AirBnb ,2012-10-20
Top Facebook executive quits to join London's Tech City ,2012-10-21
Top Facebook executive quits to join London's Tech City ,2012-10-21
BRIEF-Facebook shares extend advance  rally 10 pct after the bell ,2012-10-23
BRIEF-Facebook shares extend advance  up 6 percent after the bell ,2012-10-23
BRIEF-Facebook shares fall in extended trade following results ,2012-10-23
BRIEF-Facebook shares reverse course  trades higher in extended trade ,2012-10-23
Facebook CEO says mobile opportunity misunderstood ,2012-10-23
Facebook CEO says mobile opportunity misunderstood ,2012-10-23
Facebook mobile revenue grows faster than expected ,2012-10-23
Facebook third-quarter revenue rises 32 percent to $1.26 bln ,2012-10-23
UPDATE 4-Facebook mobile revenue grows faster than expected ,2012-10-23
BRIEF-Facebook soars 20 percent in premarket trading ,2012-10-24
BRIEF-Nasdaq says expects SEC to rule on Facebook payback plan by year-end ,2012-10-24
Facebook CEO says mobile opportunity misunderstood ,2012-10-24
Facebook's mobile surprise allays growth fears ,2012-10-24
Facebook wins back friends on Wall Street  shares soar ,2012-10-24
UPDATE 5-Facebook's mobile surprise allays growth fears ,2012-10-24
UPDATE 1-Russia's Mail.Ru sees display ad slowdown ,2012-10-25
Citi fined $2 million over Facebook IPO  fires two analysts ,2012-10-26
Citi fined $2 mln by Massachusetts over Facebook IPO ,2012-10-26
Exclusive: Massachusetts' regulator eyes other firms on research ,2012-10-26
New York man who sued Facebook faces criminal charges ,2012-10-26
NY man who sued Facebook faces criminal charges ,2012-10-26
UPDATE 1-Citi fined $2 mln by Massachusetts over Facebook IPO ,2012-10-26
UPDATE 3-Citi fined $2 mln over Facebook IPO  fires two analysts ,2012-10-26
UPDATE 3-New York man who sued Facebook faces criminal charges ,2012-10-26
Star Silicon Valley analyst felled by Facebook IPO fallout ,2012-10-27
Sandy foils Facebook staffers' long-awaited stock sales ,2012-10-29
Sandy foils Facebook staffers' long-awaited stock sales ,2012-10-29
SEC taking deeper look at Nasdaq's Facebook plan ,2012-10-29
US SEC taking deeper look at Nasdaq's Facebook plan ,2012-10-29
Facebook shares fall as lock-up period expires ,2012-10-31
Facebook shares fall as lock-up period expires ,2012-10-31
UPDATE 3-Facebook shares fall as lock-up period expires ,2012-10-31
Bulgarians use Facebook to expose slipshod police ,2012-11-01
Facebook's Sandberg sells $7.4 million in stock ,2012-11-02
Facebook's Sandberg sells $7.4 mln in stock ,2012-11-02
UPDATE 1-Facebook's Sandberg sells $7.4 mln in stock ,2012-11-02
Morgan Stanley seeks to halt Facebook arbitration case ,2012-11-06
Morgan Stanley tries to halt investor's Facebook arbitration ,2012-11-06
UPDATE 1-Morgan Stanley seeks to halt Facebook arbitration case ,2012-11-06
Facebook's Sandberg sells another $3.75 million in stock ,2012-11-08
Facebook's Sandberg sells another $3.75 mln in stock ,2012-11-08
Mail.Ru cuts stakes in Groupon  Facebook  Zygna ,2012-11-09
Mail.Ru cuts stakes in Groupon  Facebook  Zygna ,2012-11-09
"Dutch teenagers sentenced in ""Facebook murder"" ",2012-11-12
UPDATE 2-Zynga overhauls upper management as CFO departs ,2012-11-13
Zynga CFO leaves for Facebook ,2012-11-13
Zynga overhauls upper management as CFO departs ,2012-11-13
CORRECTED-UPDATE 1-Facebook stock jumps as share lockup expires ,2012-11-14
Facebook stock jumps 12.6 percent as share lockup expires ,2012-11-14
Top hedge funds picked up Facebook amid third quarter crash ,2012-11-14
Top hedge funds picked up Facebook amid third quarter crash ,2012-11-14
UPDATE 1-Top hedge funds pick up Facebook amid 3rd-quarter crash ,2012-11-14
UPDATE 4-Facebook stock jumps 12.6 pct as share lockup expires ,2012-11-14
Facebook takes another shot at settling privacy lawsuit ,2012-11-15
Facebook takes another shot at settling privacy lawsuit ,2012-11-15
Top hedge funds pick up Facebook amid third quarter crash ,2012-11-15
Exclusive: Facebook offering e-retailers sales tracking tool ,2012-11-16
EXCLUSIVE-Facebook offering e-retailers sales tracking tool ,2012-11-16
Facebook takes another shot at settling privacy lawsuit ,2012-11-16
Interpublic exits Facebook ,2012-11-20
Interpublic sells remaining stake in Facebook ,2012-11-20
UPDATE 1-Interpublic exits Facebook ,2012-11-20
